Name,Email,Is Girl?,Batting Skill,Will Infield?,Attendance 04/21?,Attendance 04/28?,Attendance 05/05?,Attendance 05/12?,Attendance 05/19?,Attendance 06/09?,P,C,1B,2B,3B,SS,LF,CF,RF,RV
Alex Smith,alexsmith@gmail.com,No,1,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Jamie Brown,jamiebrown@gmail.com,No,9,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
Taylor Johnson,taylorjohnson@gmail.com,No,20,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Morgan Lee,morganlee@gmail.com,No,7,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Casey Miller,caseymiller@gmail.com,Yes,16,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes
Jordan Davis,jordandavis@gmail.com,Yes,18,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes
Riley Wilson,rileywilson@gmail.com,No,23,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Avery Moore,averymoore@gmail.com,Yes,15,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Drew Taylor,drewtaylor@gmail.com,No,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Peyton Anderson,peytonanderson@gmail.com,Yes,17,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Cameron Thomas,cameronthomas@gmail.com,No,12,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No
Sydney Jackson,sydneyjackson@gmail.com,Yes,19,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Harper White,harperwhite@gmail.com,No,8,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quinn Harris,quinnharris@gmail.com,Yes,21,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Reese Martin,reesemartin@gmail.com,Yes,13,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
Skyler Clark,skylerclark@gmail.com,Yes,14,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
Dakota Lewis,dakotalewis@gmail.com,Yes,22,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Charlie Young,charlieyoung@gmail.com,No,3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Finley King,finleyking@gmail.com,No,4,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jesse Scott,jessescott@gmail.com,No,6,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Logan Green,logangreen@gmail.com,No,11,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sam Parker,samparker@gmail.com,No,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
